user_id	items
9	1782423,343290,23834,1565441,1574325,868576,2392336
69	
118	474382,1240473,1773251,438859
131	2569632,1874127,370166,2024130,1536057,2464324,1266745,388803,460719,1998544,1404285,1485026,2429284,717127,2111893,975606,1477340,2363760,446838,2339532,1209223,974648,2103434,1798506,1458838,325175,850597,1140056,536182,1423528,979733,2086041,827066,662777,676979,2159350,1563193,452169,1786781,356145,2056505,719772,118553,2311395,853300,927240,1055813,552022,1761269,78279,1163975,2683812,14431,952330,1237273,749474,353301,1075601,2760413,1256190,2131979,947070,440024,2420572,504183,379866,624843,1699549,1018198,2472344,1433986,752066,788400,835285,1805878,1464898,2164232,549039,981583,383035,968664,1175520,365319,1489385,999258,1994870,741088,2415751,1840018,1345613,952783,40627,307415,2003725,2414608,2534968,408729,2187637,2339370,2146379,76545,181210,946726,1133198,1986529,1655429,323907,1976529,1432859,497974,2756753,917456,2493069,1176698,1915772,2663500,308378,2379661,2774457,2321411,596542,2550514,1288591,617452,1011142,2523773,292495,1128487,2768930,2050766
136	2018274,345225,195656,655957,205541,590754,1227431,2753774,1765491,1473999,1189166,733727,1776131,400045,2490165,1932818,915158,2251462,2243608,561893,1915954,897468,577015,1491954,324737,2318303,186076,1777721,2288236,868757,2088223,1698268,875741,2549999,809126,1146490,1839808,191812,1859073,2503290,2494440,1715507,1218534,437731,1524028,1005687,1742579,27156,2488055,711529,1658950,1820101,405361,447519,608942,1652242,1807118,1460788,2517672,2098094,2495297,106338,2226824,516235,1473241,1400127,894565,2554785,217440,2259176,2466755,148278,258522,2150764,2590993,1847551,1724995,1261868,1539064,1876412,1599094,2738653,1271536,119027,1841000,1652130,1986129,139291,482499,2604307,473999,502770,1970630,2677322,2749339,781449,929795,1513565,674710,1535926,2563373,225915,2459498,2516098,2060564,402682,2276245,166153,606787,771646,1739576,1150231,2681918,1728951,914967,2811645,2634283,301366,1261382,336198,2725959,489640,2637546,785854,2138618,1504386,247849,1352651,2204226,2333390,809268,1706847,1615047,990503,928926,1381345,1591071,1916406,111050,2163200,89562,384186,2615963,2144801,2226994,1081482,620948,380913,1313079,2735625,178405,810120,55659,1852159,4660,1361496,737424,1224262,2286576,1401216,514862,807352,844099,1431549,2697168,857688,1828829,2671191,1452321,903733,591042,1451971,2190105,211381,2731078,781968,1976118,2341189,578232,1267143,75105,473618,13438,814305,1566790,880241,1319352,1733324,778170,732344,1036977,2500570,47670,2745955,446075,2446418,1403611,715523,1274443,2348249,2668724,1902832,1295406,889974,3218,2250379,2217799,1176021,2339834,445995,2406008,691271,868804,1498422,618205,691870,1598840,164737,2247419,2512871,65598,651916,350471,1309786,655531,2768590,2621518,2119207,688125,2183636,525562,712659,693191,2428781,1598850,805705,2223847,1038841,2106988,2517332
174	2123764,337756,2729978,2385218,2470629,1951666,1627391,2335721,1742474,2319389,1165973,186756,1124868,2578021,27605,463352,1534045,2617657,1132785,1780182,357422,1547375,604809,1770875,45946,1997520,1216153,1098981,1124083,9237,1965876,915151,98738,1172357,2270616,2329054,513907,1496652,2189963,1843811,2441475,2803823,2564259,1036322,2680200,2669570,807733,1527735,1879660,161885,2317409,1716215,1628794,2407117,1410060,9626,522666,1419410,1317978,663378,274363,2145786,2079237,105011,82032,2199037,1942159,2777808,2279144,1641862,2601354,1085352,2467484,2400246,2584372,2498856,2737994,561741,63366,963539,1404032,722445,2133225,155740,932307,1197970,815176,2365011,1904675,1903146,341637,243601,1674122,925902,998180,1056900,2185096,2286091,816560,2174799,2334053,73971,1052833,2685332,669614,1832064,82280,741129,1983680,2021655,121905,1849835,1436557,2093260,762412,1858501,322958,300282,1975920,2371771,1712900,1877390,859925,68742,603161,339697,1382685,524699,1472778,1812423,1137923,2775592,1657667,1412539,1933555,2046585,1088968,1838816
178	1406526,2353966,971599
185	1456139,221351,1142138,1560997,2046995,2122604,1588995,309789,2506372,1463219
193	708473,2352526,1360492,1970921
235	2719397,489001,355123,2476034,1860035,912486,1941519,2220625
